issabaa#sis sais bisas;bissa;isbas baisas;baissa;basais abaissa
artabta#art;rat rata;tara rabat;tabar battra abattra;baratta
artetba#art;rat rate;tare taret;tarte battre;bretta abattre;baratte;rabatte
btuatsa#but;tub buta;tuba battu;butta battus;buttas abattus
arserba#ars;ras ares;rase;sera erras;rares;raser;serra arbres;barres;braser;sabrer aberras;abraser;brasera;sabrera
arserbe#ars;ras ares;rase;sera erras;rares;raser;serra arbres;barres;braser;sabrer aberres
borerah#rob bore;orbe;robe rober arbore;arrobe;robera abhorre
emrabîa#mer;rem amer;arme;mare;rame ambre;brame abîmer abîmera
rsuejab#rus;sur rues;ruse;suer;sure;ures;user jures jaseur abjures
nosdeba#nos;son dons endos;ondes;sonde bedons;bondes abondes
airdoba#air;ira;rai;ria dira;raid;rida dorai;radio;rodai bordai;brodai abordai
orsdbaa#ors dors bords abords;bordas;brodas;sabord abordas;saborda
eréodba#rée orée dorée;érode;rodée bordée;brodée;dérobe abordée
derorba#der dore;rode dorer;ordre;roder border;broder;rebord aborder;bordera;brodera;reborda;rebroda
orsedba#ors ores;oser;rose;sore dores;doser;rodes bordes;brodes abordes;saborde
osérdba#osé éros;rosé dorés;rodés bordés;brodés abordés;dérobas;désorba;sabordé
bloausa#bol;lob loba boula absolu;blousa;boulas aboulas;saboula
eruolba#rue;ure euro;roue louer;loure;ourle;roule bouler;rouble abouler;boulera;laboure
suéloba#sué;usé élus loués blousé;boulés aboulés;éboulas;saboulé
stuobaa#sut;tus oust;tous bouts;obtus abouts;absout;boutas;tabous aboutas
rtuoeba#rut tour;trou outre;rouet;route;touer;troue bouter;boutre;brouet;broute;obture;tourbe abouter;boutera;raboute;rebouta
stuoeba#sut;tus oust;tous ouest;ouste;soute;toues boutes;obtuse aboutes;absoute;taboues
rtuoiba#rut tour;trou rouit butoir aboutir;broutai;obturai;tourbai
stuobia#sut;tus oust;tous bouts;obtus subito aboutis;boutais
irsbaaa#ris;sir bris abris;brais;brisa;sabir braisa;brasai;rabais abrasai;arabisa
arsasba#ars;ras aras;rasa rasas brasas;brassa;sabras abrasas
arserba#ars;ras ares;rase;sera erras;rares;raser;serra arbres;barres;braser;sabrer aberras;abraser;brasera;sabrera
essraba#ses sers rases;seras brases;brasse;sabres abrases;baseras
aréssba#réa rasé;réas rasés brasés;brassé;sabrés abrasés;ébrasas
arsezba#ars;ras ares;rase;sera rasez brasez;sabrez;zabres abrasez
erérgab#rée erré;réer gérer;gréer agréer;égarer;gérera;ragrée;regréa abréger
